% Freq(Hz) h_c
1.4186195e-08 3.2664602e-15
1.4265892e-08 3.2921868e-15
1.4345590e-08 3.3181280e-15
1.4425288e-08 3.3443666e-15
1.4504986e-08 3.3709734e-15
1.4584683e-08 3.3980038e-15
1.4664381e-08 3.4254945e-15
1.4744079e-08 3.4534619e-15
1.4823776e-08 3.4819010e-15
1.4903474e-08 3.5107858e-15
1.4983172e-08 3.5400701e-15
1.5062870e-08 3.5696901e-15
1.5142567e-08 3.5995675e-15
1.5222265e-08 3.6296136e-15
1.5301963e-08 3.6597337e-15
1.5381661e-08 3.6898327e-15
1.5461358e-08 3.7198196e-15
1.5541056e-08 3.7496133e-15
1.5620754e-08 3.7791469e-15
1.5700451e-08 3.8083712e-15
1.5780149e-08 3.8372584e-15
1.5859847e-08 3.8658033e-15
1.5939545e-08 3.8940235e-15
1.6019242e-08 3.9219592e-15
1.6098940e-08 3.9496700e-15
1.6178638e-08 3.9772326e-15
1.6258335e-08 4.0047355e-15
1.6338033e-08 4.0322750e-15
1.6417731e-08 4.0599497e-15
1.6497429e-08 4.0878546e-15
1.6577126e-08 4.1160769e-15
1.6656824e-08 4.1446907e-15
1.6736522e-08 4.1737533e-15
1.6816220e-08 4.2033019e-15
1.6895917e-08 4.2333521e-15
1.6975615e-08 4.2638960e-15
1.7055313e-08 4.2949033e-15
1.7135010e-08 4.3263221e-15
1.7214708e-08 4.3580815e-15
1.7294406e-08 4.3900952e-15
1.7374104e-08 4.4222660e-15
1.7453801e-08 4.4544906e-15
1.7533499e-08 4.4866653e-15
1.7613197e-08 4.5186919e-15
1.7692894e-08 4.5504828e-15
1.7772592e-08 4.5819667e-15
1.7852290e-08 4.6130920e-15
1.7931988e-08 4.6438305e-15
1.8011685e-08 4.6741793e-15
1.8091383e-08 4.7041606e-15
1.8171081e-08 4.7338215e-15
1.8250779e-08 4.7632307e-15
1.8330476e-08 4.7924752e-15
1.8410174e-08 4.8216559e-15
1.8489872e-08 4.8508814e-15
1.8569569e-08 4.8802627e-15
1.8649267e-08 4.9099068e-15
1.8728965e-08 4.9399114e-15
1.8808663e-08 4.9703591e-15
1.8888360e-08 5.0013134e-15
1.8968058e-08 5.0328146e-15
1.9047756e-08 5.0648780e-15
1.9127453e-08 5.0974924e-15
1.9207151e-08 5.1306202e-15
1.9286849e-08 5.1641993e-15
1.9366547e-08 5.1981457e-15
1.9446244e-08 5.2323574e-15
1.9525942e-08 5.2667200e-15
1.9605640e-08 5.3011122e-15
1.9685338e-08 5.3354127e-15
1.9765035e-08 5.3695064e-15
1.9844733e-08 5.4032914e-15
1.9924431e-08 5.4366848e-15
2.0004128e-08 5.4696276e-15
2.0083826e-08 5.5020888e-15
2.0163524e-08 5.5340672e-15
2.0243222e-08 5.5655926e-15
2.0322919e-08 5.5967236e-15
2.0402617e-08 5.6275459e-15
2.0482315e-08 5.6581668e-15
2.0562012e-08 5.6887101e-15
2.0641710e-08 5.7193095e-15
2.0721408e-08 5.7501012e-15
2.0801106e-08 5.7812169e-15
2.0880803e-08 5.8127762e-15
2.0960501e-08 5.8448806e-15
2.1040199e-08 5.8776075e-15
2.1119897e-08 5.9110059e-15
2.1199594e-08 5.9450929e-15
2.1279292e-08 5.9798527e-15
2.1358990e-08 6.0152361e-15
2.1438687e-08 6.0511625e-15
2.1518385e-08 6.0875235e-15
2.1598083e-08 6.1241875e-15
2.1677781e-08 6.1610063e-15
2.1757478e-08 6.1978227e-15
2.1837176e-08 6.2344790e-15
2.1916874e-08 6.2708253e-15
2.1996572e-08 6.3067288e-15
2.2076269e-08 6.3420810e-15
2.2155967e-08 6.3768053e-15
2.2235665e-08 6.4108617e-15
2.2315362e-08 6.4442506e-15
2.2395060e-08 6.4770130e-15
2.2474758e-08 6.5092301e-15
2.2554456e-08 6.5410189e-15
2.2634153e-08 6.5725270e-15
2.2713851e-08 6.6039246e-15
2.2793549e-08 6.6353960e-15
2.2873246e-08 6.6671299e-15
2.2952944e-08 6.6993089e-15
2.3032642e-08 6.7321003e-15
2.3112340e-08 6.7656464e-15
2.3192037e-08 6.8000565e-15
2.3271735e-08 6.8354005e-15
2.3351433e-08 6.8717038e-15
2.3431131e-08 6.9089445e-15
2.3510828e-08 6.9470530e-15
2.3590526e-08 6.9859136e-15
2.3670224e-08 7.0253691e-15
2.3749921e-08 7.0652270e-15
2.3829619e-08 7.1052687e-15
2.3909317e-08 7.1452600e-15
2.3989015e-08 7.1849636e-15
2.4068712e-08 7.2241521e-15
2.4148410e-08 7.2626215e-15
2.4228108e-08 7.3002036e-15
2.4307805e-08 7.3367775e-15
2.4387503e-08 7.3722784e-15
2.4467201e-08 7.4067039e-15
2.4546899e-08 7.4401164e-15
2.4626596e-08 7.4726418e-15
2.4706294e-08 7.5044649e-15
2.4785992e-08 7.5358209e-15
2.4865690e-08 7.5669840e-15
2.4945387e-08 7.5982539e-15
2.5025085e-08 7.6299402e-15
2.5104783e-08 7.6623466e-15
2.5184480e-08 7.6957547e-15
2.5264178e-08 7.7304085e-15
2.5343876e-08 7.7665006e-15
2.5423574e-08 7.8041602e-15
2.5503271e-08 7.8434434e-15
2.5582969e-08 7.8843269e-15
2.5662667e-08 7.9267044e-15
2.5742364e-08 7.9703878e-15
2.5822062e-08 8.0151109e-15
2.5901760e-08 8.0605396e-15
2.5981458e-08 8.1062840e-15
2.6061155e-08 8.1519166e-15
2.6140853e-08 8.1969933e-15
2.6220551e-08 8.2410778e-15
2.6300249e-08 8.2837671e-15
2.6379946e-08 8.3247176e-15
2.6459644e-08 8.3636701e-15
2.6539342e-08 8.4004705e-15
2.6619039e-08 8.4350855e-15
2.6698737e-08 8.4676128e-15
2.6778435e-08 8.4982822e-15
2.6858133e-08 8.5274501e-15
2.6937830e-08 8.5555855e-15
2.7017528e-08 8.5832503e-15
2.7097226e-08 8.6110734e-15
2.7176923e-08 8.6397214e-15
2.7256621e-08 8.6698667e-15
2.7336319e-08 8.7021554e-15
2.7416017e-08 8.7371745e-15
2.7495714e-08 8.7754220e-15
2.7575412e-08 8.8172776e-15
2.7655110e-08 8.8629772e-15
2.7734808e-08 8.9125902e-15
2.7814505e-08 8.9660013e-15
2.7894203e-08 9.0228970e-15
2.7973901e-08 9.0827594e-15
2.8053598e-08 9.1448672e-15
2.8133296e-08 9.2083087e-15
2.8212994e-08 9.2720061e-15
2.8292692e-08 9.3347547e-15
2.8372389e-08 9.3952778e-15
2.8452087e-08 9.4522958e-15
2.8531785e-08 9.5046078e-15
2.8611483e-08 9.5511812e-15
2.8691180e-08 9.5912416e-15
2.8770878e-08 9.6243557e-15
2.8850576e-08 9.6504986e-15
2.8930273e-08 9.6700978e-15
2.9009971e-08 9.6840511e-15
2.9089669e-08 9.6937157e-15
2.9169367e-08 9.7008742e-15
2.9249064e-08 9.7076811e-15
2.9328762e-08 9.7166018e-15
2.9408460e-08 9.7303512e-15
2.9488157e-08 9.7518408e-15
2.9567855e-08 9.7841431e-15
2.9647553e-08 9.8304757e-15
2.9727251e-08 9.8942113e-15
2.9806948e-08 9.9789140e-15
2.9886646e-08 1.0088405e-14
2.9966344e-08 1.0226858e-14
3.0046042e-08 1.0398938e-14
3.0125739e-08 1.0609972e-14
3.0205437e-08 1.0866191e-14
3.0285135e-08 1.1175038e-14
3.0364832e-08 1.1545584e-14
3.0444530e-08 1.1989105e-14
3.0524228e-08 1.2519876e-14
3.0603926e-08 1.3156316e-14
3.0683623e-08 1.3922665e-14
3.0763321e-08 1.4851524e-14
3.0843019e-08 1.5987816e-14
3.0922716e-08 1.7395227e-14
